246,Finland,Europe,5545.48,314502000000.00,238503000000.00,56713.27,43008540.29
578,Norway,Europe,5474.36,549733000000.00,371069000000.00,100419.59,67783083.32
430,Liberia,Africa,5418.38,4064000000.00,2756817825.00,750.04,508790.05
275,Palestine,Asia,5371.23,0.00,13397100000.00,2494.23,2494233.16
422,Lebanon,Asia,5353.93,0.00,50457653265.00,9424.41,9424414.08
554,New Zealand,Oceania,5228.10,276720000000.00,187517000000.00,52929.36,35867141.03
188,Costa Rica,North America,5212.17,68180000000.00,57435510668.00,13080.92,11019500.64
372,Ireland,Europe,5056.94,562134000000.00,304819000000.00,111161.01,60277361.41
478,Mauritania,Africa,4862.99,9705000000.00,4667119320.00,1995.69,959722.17
512,Oman,Asia,4644.38,110250000000.00,63170959402.00,23738.35,13601591.47
591,Panama,North America,4468.09,76549000000.00,55187800000.00,17132.39,12351541.71
414,Kuwait,Asia,4310.11,180665000000.00,110346000000.00,41916.58,25601666.78
191,Croatia,Europe,4008.62,75827000000.00,51231002611.00,18916.00,12780209.30
232,Eritrea,Africa,3748.90,2777000000.00,5413804303.00,740.75,1444104.75
268,Georgia,Europe,3728.28,23300000000.00,14332728707.00,6249.53,3844327.33
496,Mongolia,Asia,3447.16,21047000000.00,11160356685.00,6105.61,3237551.11
498,Moldova,Europe,3435.93,13752000000.00,6772647958.00,4002.41,1971125.13
858,Uruguay,South America,3423.11,66988000000.00,52419718459.00,19569.35,15313477.64
630,Puerto Rico,North America,3260.31,121068000000.00,105035000000.00,37133.85,32216261.64
70,Bosnia and Herzegovina,Europe,3210.85,24971000000.00,16909904149.00,7777.08,5266488.36
8,Albania,Europe,2832.44,19062000000.00,11863866791.00,6729.89,4188567.73
388,Jamaica,North America,2825.54,16208000000.00,14056901075.00,5736.24,4974943.22
51,Armenia,Europe,2777.97,15842000000.00,10572299425.00,5702.73,3805764.43
270,Gambia,Africa,2773.17,2341000000.00,985831536.00,844.16,355489.04
440,Lithuania,Europe,2718.35,75992000000.00,42773029835.00,27955.17,15734923.70
634,Qatar,Asia,2716.39,228356000000.00,152452000000.00,84065.95,56123016.21
72,Botswana,Africa,2675.35,19821000000.00,15566057294.00,7408.74,5818325.56
516,Namibia,Africa,2604.17,14205000000.00,10947277246.00,5454.71,4203749.08
266,Gabon,Africa,2436.57,22472000000.00,13863183526.00,9222.82,5689630.72
426,Lesotho,Africa,2330.32,2716000000.00,2241017076.00,1165.51,961677.83
624,Guinea-Bissau,Africa,2150.84,1802000000.00,1122643236.00,837.81,521955.72
705,Slovenia,Europe,2119.68,69888000000.00,44708598649.00,32971.09,21092145.35
807,North Macedonia,Europe,2085.68,15546000000.00,10745782586.00,7453.69,5152172.23
428,Latvia,Europe,1830.21,43128000000.00,27572698482.00,23564.50,15065319.54
226,Equatorial Guinea,Africa,1714.67,14956000000.00,10677940568.00,8722.37,6227402.69
412,Kosovo,Europe,1663.59,0.00,6714465857.00,4036.12,4036130.21
